Node A,Int A,IP A,Node B,Int B,IP B,Speed,Medium
P1,Gi0/1,192.168.1.0,PE1,Gi0/1,192.168.1.1,1,Virtual
P1,Gi0/2,192.168.1.2,PE2,Gi0/1,192.168.1.3,1,Virtual
P1,Gi0/3,192.168.1.4,P2,Gi0/3,192.168.1.5,1,Virtual
P1,Gi0/4,192.168.1.6,PE3,Gi0/1,192.168.1.7,1,Virtual
P1,Gi0/5,192.168.1.8,PE4,Gi0/1,192.168.1.9,1,Virtual
P1,Gi0/6,192.168.1.10,RR1,Gi0/1,192.168.1.11,1,Virtual
P2,Gi0/1,192.168.1.12,PE1,Gi0/2,192.168.1.13,1,Virtual
P2,Gi0/2,192.168.1.14,PE2,Gi0/2,192.168.1.15,1,Virtual
P2,Gi0/4,192.168.1.16,PE3,Gi0/2,192.168.1.17,1,Virtual
P2,Gi0/5,192.168.1.18,PE4,Gi0/2,192.168.1.19,1,Virtual
P2,Gi0/6,192.168.1.20,RR2,Gi0/1,192.168.1.21,1,Virtual
